2025-08-08 12:40:08 [INFO]: No unread matching emails found.
2025-08-08 12:40:19 [INFO]: MongoDB connected: ac-jcjpljt-shard-00-01.0qkvcwz.mongodb.net
2025-08-08 12:47:48 [ERROR]: Failed to fetch unread filtered emails: request to https://oauth2.googleapis.com/token failed, reason: getaddrinfo ENOTFOUND oauth2.googleapis.com
2025-08-08 12:47:54 [ERROR]: Failed to fetch unread filtered emails: request to https://oauth2.googleapis.com/token failed, reason: getaddrinfo ENOTFOUND oauth2.googleapis.com
2025-08-08 12:48:00 [ERROR]: Failed to fetch unread filtered emails: request to https://oauth2.googleapis.com/token failed, reason: getaddrinfo ENOTFOUND oauth2.googleapis.com
2025-08-08 12:48:06 [ERROR]: Failed to fetch unread filtered emails: request to https://oauth2.googleapis.com/token failed, reason: getaddrinfo ENOTFOUND oauth2.googleapis.com
2025-08-08 12:48:12 [ERROR]: Failed to fetch unread filtered emails: request to https://oauth2.googleapis.com/token failed, reason: getaddrinfo ENOTFOUND oauth2.googleapis.com
2025-08-08 12:48:18 [ERROR]: Failed to fetch unread filtered emails: request to https://oauth2.googleapis.com/token failed, reason: getaddrinfo ENOTFOUND oauth2.googleapis.com
2025-08-08 12:48:24 [ERROR]: Failed to fetch unread filtered emails: request to https://oauth2.googleapis.com/token failed, reason: getaddrinfo ENOTFOUND oauth2.googleapis.com
2025-08-08 12:48:30 [ERROR]: Failed to fetch unread filtered emails: request to https://oauth2.googleapis.com/token failed, reason: getaddrinfo ENOTFOUND oauth2.googleapis.com
2025-08-08 12:48:32 [ERROR]: Error connecting to MongoDB: querySrv ETIMEOUT _mongodb._tcp.cluster0.0qkvcwz.mongodb.net
2025-08-08 12:49:19 [INFO]: MongoDB connected: ac-jcjpljt-shard-00-01.0qkvcwz.mongodb.net
2025-08-08 12:49:24 [INFO]: No unread matching emails found.
2025-08-08 12:49:30 [INFO]: No unread matching emails found.
2025-08-08 12:49:36 [INFO]: No unread matching emails found.
2025-08-08 12:49:42 [INFO]: No unread matching emails found.
2025-08-08 12:49:48 [INFO]: No unread matching emails found.
2025-08-08 12:49:56 [INFO]: MongoDB connected: ac-jcjpljt-shard-00-01.0qkvcwz.mongodb.net
2025-08-08 12:50:03 [INFO]: Processed 1 email(s) successfully.
2025-08-08 12:50:08 [INFO]: No unread matching emails found.
2025-08-08 12:50:14 [INFO]: No unread matching emails found.
2025-08-08 12:50:20 [INFO]: No unread matching emails found.
2025-08-08 12:50:26 [INFO]: No unread matching emails found.
2025-08-08 12:50:32 [INFO]: No unread matching emails found.
2025-08-08 12:50:38 [INFO]: No unread matching emails found.
2025-08-08 12:50:44 [INFO]: No unread matching emails found.
2025-08-08 12:51:18 [INFO]: MongoDB connected: ac-jcjpljt-shard-00-00.0qkvcwz.mongodb.net
2025-08-08 12:51:23 [INFO]: No unread matching emails found.
2025-08-08 12:52:03 [INFO]: MongoDB connected: ac-jcjpljt-shard-00-02.0qkvcwz.mongodb.net
2025-08-08 12:52:08 [INFO]: No unread matching emails found.
